concept,prefLabel,broad,altLabels
https://hdl.handle.net/20.500.11840/termmaster10061396,Tariku (rivier),https://hdl.handle.net/20.500.11840/termmaster10061394,Rouffaer (rivier) | Tariku (river)
https://hdl.handle.net/20.500.11840/termmaster10060695,Tafea (provincie),https://hdl.handle.net/20.500.11840/termmaster10060685,Tafea (province)
https://hdl.handle.net/20.500.11840/termmaster10057430,Modena (provincie),https://hdl.handle.net/20.500.11840/termmaster10057425,
https://hdl.handle.net/20.500.11840/termmaster10077588,Besoa,https://hdl.handle.net/20.500.11840/termmaster10077586,Behoa | Besowa
https://hdl.handle.net/20.500.11840/termmaster10078414,Zerma,https://hdl.handle.net/20.500.11840/termmaster10078411,Adzerma | Djerma | Dyabarma | Jerma | Zabarma | Zabermawa | Zarbarma | Zarma
https://hdl.handle.net/20.500.11840/termmaster10059892,Blind River,https://hdl.handle.net/20.500.11840/termmaster10059891,
https://hdl.handle.net/20.500.11840/termmaster10062056,Lhokseumawe (stadsgemeente),https://hdl.handle.net/20.500.11840/termmaster10062019,Lhokseumawe (kota) | Lhokseumawe (municipality)
https://hdl.handle.net/20.500.11840/termmaster10072032,uitrusting voor het overbrengen en weergeven van geluid,https://hdl.handle.net/20.500.11840/termmaster10071520,sound transmitting and reproducing equipment
https://hdl.handle.net/20.500.11840/termmaster10049910,"monumenten, memorials en tijdelijke gedenktekens",https://hdl.handle.net/20.500.11840/termmaster10049915,facilities for commemoration | monumenten | tijdelijke gedenktekens | voorzieningen voor het gedenken
https://hdl.handle.net/20.500.11840/termmaster10050028,Id al-Fitr,https://hdl.handle.net/20.500.11840/termmaster10050023,Eid al-Fitr | Suikerfeest | عيد الفطر
https://hdl.handle.net/20.500.11840/termmaster10059135,Ayautla,https://hdl.handle.net/20.500.11840/termmaster10059119,
https://hdl.handle.net/20.500.11840/termmaster10059068,Pátzcuaro-meer,https://hdl.handle.net/20.500.11840/termmaster10059059,Lake Pátzcuaro
https://hdl.handle.net/20.500.11840/termmaster10067982,projectielwapenonderdelen,https://hdl.handle.net/20.500.11840/termmaster10067981,projectile weapon components
https://hdl.handle.net/20.500.11840/termmaster10065208,kool,https://hdl.handle.net/20.500.11840/termmaster10065207,coal | steenkool
https://hdl.handle.net/20.500.11840/termmaster10070993,wangpriemen,https://hdl.handle.net/20.500.11840/termmaster10070992,cheek piercing awls
https://hdl.handle.net/20.500.11840/termmaster10067344,hoogdrukken,https://hdl.handle.net/20.500.11840/termmaster10067337,blokdrukken | relief prints | reliëfdrukken (prenten)
https://hdl.handle.net/20.500.11840/termmaster10067828,bruidskisten,https://hdl.handle.net/20.500.11840/termmaster10067826,dower chests
https://hdl.handle.net/20.500.11840/termmaster10069948,voorbeeldenboeken,https://hdl.handle.net/20.500.11840/termmaster10069946,patroonboeken | pattern books
https://hdl.handle.net/20.500.11840/termmaster10061143,Zambales,https://hdl.handle.net/20.500.11840/termmaster10061137,
https://hdl.handle.net/20.500.11840/termmaster10071691,schuurborstels,https://hdl.handle.net/20.500.11840/termmaster10071689,scrub brushes
https://hdl.handle.net/20.500.11840/termmaster10078445,Nafana,https://hdl.handle.net/20.500.11840/termmaster10078416,Nafambele | Nafame | Nafanra | Nafarha | Naffara
https://hdl.handle.net/20.500.11840/termmaster10059050,Villa Unión,https://hdl.handle.net/20.500.11840/termmaster10059049,
https://hdl.handle.net/20.500.11840/termmaster10058613,Manaus,https://hdl.handle.net/20.500.11840/termmaster10058604,
https://hdl.handle.net/20.500.11840/termmaster10067495,afweerbeelden,https://hdl.handle.net/20.500.11840/termmaster10067494,preventive sculptures 
https://hdl.handle.net/20.500.11840/termmaster10056106,Sneek,https://hdl.handle.net/20.500.11840/termmaster10056105,
https://hdl.handle.net/20.500.11840/termmaster10065888,materialen naar fysieke vorm,https://hdl.handle.net/20.500.11840/termmaster10065887,materials by physical form
https://hdl.handle.net/20.500.11840/termmaster10078863,Kwango-Kwilu rivierengebied,https://hdl.handle.net/20.500.11840/termmaster10078764,Kwango-Kwilu River area | Kwango-Kwilu region styles | Kwango-Kwilu regionale stijlen
https://hdl.handle.net/20.500.11840/termmaster10068321,vierkant getuigde vaartuigen: drie of meer masten,https://hdl.handle.net/20.500.11840/termmaster10068320,square-rigged vessels: three or more masts
https://hdl.handle.net/20.500.11840/termmaster10063131,Boyolali (regentschap),https://hdl.handle.net/20.500.11840/termmaster10063042,Boyolali (kabupaten) | Boyolali (regency)
https://hdl.handle.net/20.500.11840/termmaster10079564,dispersieverf,https://hdl.handle.net/20.500.11840/termmaster10065543,emulsion paint
https://hdl.handle.net/20.500.11840/termmaster10069918,sneltekens,https://hdl.handle.net/20.500.11840/termmaster10069917,head-hunting symbols | snelsymbolen
https://hdl.handle.net/20.500.11840/termmaster10049712,noteren van aantallen en getallen,https://hdl.handle.net/20.500.11840/termmaster10049710,inventarissen en boekhouding | lijsten en boekjes met getallen | noting and listing numbers
https://hdl.handle.net/20.500.11840/termmaster10065068,glasbewerking en glasbewerkingsprocedés,https://hdl.handle.net/20.500.11840/termmaster10065066,glassworking processes and techniques
https://hdl.handle.net/20.500.11840/termmaster10058825,Guatemala,https://hdl.handle.net/20.500.11840/termmaster10058809,GTM 
https://hdl.handle.net/20.500.11840/termmaster10067587,korandoeken,https://hdl.handle.net/20.500.11840/termmaster10067586,Koran cloths
https://hdl.handle.net/20.500.11840/termmaster10057354,Asti,https://hdl.handle.net/20.500.11840/termmaster10057353,
https://hdl.handle.net/20.500.11840/termmaster10066144,gewreven idiofonen,https://hdl.handle.net/20.500.11840/termmaster10066139,friction idiophones | wrijfidiofonen
https://hdl.handle.net/20.500.11840/termmaster10079104,rituelen en ceremonies,https://hdl.handle.net/20.500.11840/termmaster10048292,"religious ceremonies, rituals, and holidays"
https://hdl.handle.net/20.500.11840/termmaster10078931,Dzing,https://hdl.handle.net/20.500.11840/termmaster10078929,Dinga
https://hdl.handle.net/20.500.11840/termmaster10058683,Bananal (eiland),https://hdl.handle.net/20.500.11840/termmaster10058682,Bananal Island | Ilha do Bananal
https://hdl.handle.net/20.500.11840/termmaster10069982,handtekeningen,https://hdl.handle.net/20.500.11840/termmaster10069981,signatures (names)
https://hdl.handle.net/20.500.11840/termmaster10064105,West-Turkmenistan,https://hdl.handle.net/20.500.11840/termmaster10064104,Turkestan: west | West-Turkestan | Western Turkmenistan
https://hdl.handle.net/20.500.11840/termmaster10054922,Centraal-Ivoorkust,https://hdl.handle.net/20.500.11840/termmaster10054921,Central Ivory Coast | Ivoorkust: centraal | Ivory Coast: central
https://hdl.handle.net/20.500.11840/termmaster10067482,terracotta's,https://hdl.handle.net/20.500.11840/termmaster10067476,terracottas
https://hdl.handle.net/20.500.11840/termmaster10055336,Twelve Apostles,https://hdl.handle.net/20.500.11840/termmaster10055333,
https://hdl.handle.net/20.500.11840/termmaster10065033,metaalassemblageprocedés en -technieken,https://hdl.handle.net/20.500.11840/termmaster10065030,metal assembling processes and techniques
https://hdl.handle.net/20.500.11840/termmaster10062039,Idi,https://hdl.handle.net/20.500.11840/termmaster10062037,Idi Cut | Idi Rayeuk | Idi Tunong
https://hdl.handle.net/20.500.11840/termmaster10064559,'Aynat,https://hdl.handle.net/20.500.11840/termmaster10064549,'Inat | Einat
https://hdl.handle.net/20.500.11840/termmaster10070496,mokkakoppen,https://hdl.handle.net/20.500.11840/termmaster10070495,mocha cups
https://hdl.handle.net/20.500.11840/termmaster10071860,digitale camera’s,https://hdl.handle.net/20.500.11840/termmaster10071854,digital cameras
https://hdl.handle.net/20.500.11840/termmaster10071759,poenka's,https://hdl.handle.net/20.500.11840/termmaster10071758,pankah | punkah
https://hdl.handle.net/20.500.11840/termmaster10056861,Ahaus,https://hdl.handle.net/20.500.11840/termmaster10056860,
https://hdl.handle.net/20.500.11840/termmaster10049710,tellen en rekenen,https://hdl.handle.net/20.500.11840/termmaster10049310,counting and calculating
https://hdl.handle.net/20.500.11840/termmaster10065224,Arabische gom,https://hdl.handle.net/20.500.11840/termmaster10065223,gum arabic
https://hdl.handle.net/20.500.11840/termmaster10065776,wervel,https://hdl.handle.net/20.500.11840/termmaster10065768,swivel | vertebra | wervels (skeletonderdelen)
https://hdl.handle.net/20.500.11840/termmaster10071960,blusapparaten,https://hdl.handle.net/20.500.11840/termmaster10071959,fire extinguishers
https://hdl.handle.net/20.500.11840/termmaster10048757,laten trekken van non-alcoholische dranken,https://hdl.handle.net/20.500.11840/termmaster10048754,infuse
https://hdl.handle.net/20.500.11840/termmaster10063412,Saba (Bali),https://hdl.handle.net/20.500.11840/termmaster10063397,
https://hdl.handle.net/20.500.11840/termmaster10062717,Maba,https://hdl.handle.net/20.500.11840/termmaster10062716,
https://hdl.handle.net/20.500.11840/termmaster10056625,Inverclyde,https://hdl.handle.net/20.500.11840/termmaster10056600,
https://hdl.handle.net/20.500.11840/termmaster10060526,Vokeo Island,https://hdl.handle.net/20.500.11840/termmaster10060525,Wogeo
https://hdl.handle.net/20.500.11840/termmaster10060645,Golf van Papua,https://hdl.handle.net/20.500.11840/termmaster10060642,
https://hdl.handle.net/20.500.11840/termmaster10056903,Mönchengladbach,https://hdl.handle.net/20.500.11840/termmaster10056899,Gladbach | Gladbach-Rheydt | Monchengladbach | Munchen-Gladbach | München-Gladbach
https://hdl.handle.net/20.500.11840/termmaster10070810,luchtpostenveloppen,https://hdl.handle.net/20.500.11840/termmaster10070809,air mail envelopes
https://hdl.handle.net/20.500.11840/termmaster10048465,bewerken van bamboe,https://hdl.handle.net/20.500.11840/termmaster10048463,bamboo working
https://hdl.handle.net/20.500.11840/termmaster10065872,stekel,https://hdl.handle.net/20.500.11840/termmaster10065849,quill (spine)
https://hdl.handle.net/20.500.11840/termmaster10056508,Lancaster,https://hdl.handle.net/20.500.11840/termmaster10056506,
https://hdl.handle.net/20.500.11840/termmaster10060351,Noordwestelijke eilanden (PNG),https://hdl.handle.net/20.500.11840/termmaster10060350,North western Islands (PNG)
https://hdl.handle.net/20.500.11840/termmaster10078625,Nkole,https://hdl.handle.net/20.500.11840/termmaster10078610,Ankole | Banyankole | Nkore | Nyankole | Nyankore
https://hdl.handle.net/20.500.11840/termmaster10062412,Nusa Tenggara Timur (provincie),https://hdl.handle.net/20.500.11840/termmaster10061190,Eastern Nusa Tenggara | Nusa Tenggara Timur (province) | Nusa Tenggara: oost | Oostelijk Nusa Tengaara
https://hdl.handle.net/20.500.11840/termmaster10065535,lakverf,https://hdl.handle.net/20.500.11840/termmaster10065534,Ripolin enamel | enamel paint
https://hdl.handle.net/20.500.11840/termmaster10063284,Ciledug,https://hdl.handle.net/20.500.11840/termmaster10063280,
https://hdl.handle.net/20.500.11840/termmaster10056518,Huntingdon,https://hdl.handle.net/20.500.11840/termmaster10056515,
https://hdl.handle.net/20.500.11840/termmaster10066356,eilanden,https://hdl.handle.net/20.500.11840/termmaster10066350,islands (landforms) 
https://hdl.handle.net/20.500.11840/termmaster10062225,Noordelijke eilanden (Sulawesi),https://hdl.handle.net/20.500.11840/termmaster10062199,Northern Islands (Sulawesi) | Nusa Utara (Sulawesi) | Sangihetalaud | Sangihetalaud (oud regentschap) | Sangihetelaud (former regency)
https://hdl.handle.net/20.500.11840/termmaster10069945,getuigschriften,https://hdl.handle.net/20.500.11840/termmaster10069934,testimonials | werkgeversverklaringen
https://hdl.handle.net/20.500.11840/termmaster10056763,Marloffstein,https://hdl.handle.net/20.500.11840/termmaster10056758,
https://hdl.handle.net/20.500.11840/termmaster10066406,speelplaatsen,https://hdl.handle.net/20.500.11840/termmaster10066402,playgrounds | speelpleinen
https://hdl.handle.net/20.500.11840/termmaster10078025,Katoch,https://hdl.handle.net/20.500.11840/termmaster10078004,
https://hdl.handle.net/20.500.11840/termmaster10050287,co-existentie van culturen in een samenleving,https://hdl.handle.net/20.500.11840/termmaster10050285,coexistence of cultures in society | cultureel pluralisme | diasopra | multiculturalisme | transnationalisme
https://hdl.handle.net/20.500.11840/termmaster10063782,Deeg,https://hdl.handle.net/20.500.11840/termmaster10063759,Dig
https://hdl.handle.net/20.500.11840/termmaster10078354,Namba,https://hdl.handle.net/20.500.11840/termmaster10078348,Lama | Lamba | Losso | Namba (Westelijk Afrikaanse stijl)
https://hdl.handle.net/20.500.11840/termmaster10065011,afbindtechniek,https://hdl.handle.net/20.500.11840/termmaster10065002,tying technique (resist dyeing)
https://hdl.handle.net/20.500.11840/termmaster10070516,broodtrommels,https://hdl.handle.net/20.500.11840/termmaster10070506,bread boxes
https://hdl.handle.net/20.500.11840/termmaster10079500,asjkenazisch,https://hdl.handle.net/20.500.11840/termmaster10075772,Ashkenazi | Ashkenazim | Ashkenazishe Yidn | Yehudei Ashkenaz
https://hdl.handle.net/20.500.11840/termmaster10057015,Nieder-Ramstadt,https://hdl.handle.net/20.500.11840/termmaster10057005,
https://hdl.handle.net/20.500.11840/termmaster10060562,Kaugia,https://hdl.handle.net/20.500.11840/termmaster10060558,
https://hdl.handle.net/20.500.11840/termmaster10066253,santurs,https://hdl.handle.net/20.500.11840/termmaster10066250,
https://hdl.handle.net/20.500.11840/termmaster10060471,Erap (rivier),https://hdl.handle.net/20.500.11840/termmaster10060469,Erap (river)
https://hdl.handle.net/20.500.11840/termmaster10078805,Jeto,https://hdl.handle.net/20.500.11840/termmaster10078799,Joto
https://hdl.handle.net/20.500.11840/termmaster10064003,Machilipatnam,https://hdl.handle.net/20.500.11840/termmaster10063997,Masulipatam | Masulipatnam
https://hdl.handle.net/20.500.11840/termmaster10066159,maraca's,https://hdl.handle.net/20.500.11840/termmaster10066158,maracas | sambaballen
https://hdl.handle.net/20.500.11840/termmaster10058471,Chancay,https://hdl.handle.net/20.500.11840/termmaster10058467,
https://hdl.handle.net/20.500.11840/termmaster10055686,Koekendaal,https://hdl.handle.net/20.500.11840/termmaster10055685,
https://hdl.handle.net/20.500.11840/termmaster10066421,pleinen,https://hdl.handle.net/20.500.11840/termmaster10066411,squares (open spaces)
https://hdl.handle.net/20.500.11840/termmaster10077472,Minangkabau,https://hdl.handle.net/20.500.11840/termmaster10077469,Menagkabau | Minang | Orang Padang | Padang | Padangse Bovenlanden
https://hdl.handle.net/20.500.11840/termmaster10070379,houders voor ruilmiddelen,https://hdl.handle.net/20.500.11840/termmaster10070376,containers for exchange media
https://hdl.handle.net/20.500.11840/termmaster10062363,Kalumpang,https://hdl.handle.net/20.500.11840/termmaster10062362,Galoempang
https://hdl.handle.net/20.500.11840/termmaster10078740,Mpongwe,https://hdl.handle.net/20.500.11840/termmaster10078738,Bayugu | Empoongwe | Mpangwe | Pongo | Pongoue | Pongwe
https://hdl.handle.net/20.500.11840/termmaster10069206,wapenrustingonderdelen,https://hdl.handle.net/20.500.11840/termmaster10069194,armor components | harnasonderdelen
https://hdl.handle.net/20.500.11840/termmaster10070544,sojapotjes,https://hdl.handle.net/20.500.11840/termmaster10070522,
